,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
33,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Cook Islands,Both sexes,18,18.0,,,
34,Life expectancy at birth (years),Published,2000,Europe,High-income,Cyprus,Female,79,79.0,,,
35,Life expectancy at birth (years),Published,2000,Europe,High-income,Cyprus,Both sexes,77,77.0,,,
36,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Cyprus,Female,22,22.0,,,
37,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Cyprus,Female,26,26.0,,,
38,Life expectancy at birth (years),Published,2012,Europe,High-income,Czech Republic,Male,75,75.0,,,
39,Life expectancy at birth (years),Published,1990,Europe,High-income,Czech Republic,Female,75,75.0,,,
40,Life expectancy at birth (years),Published,1990,Europe,High-income,Germany,Female,79,79.0,,,
41,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Germany,Male,18,18.0,,,
42,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Germany,Male,20,20.0,,,
43,Life expectancy at birth (years),Published,2012,Europe,High-income,Denmark,Both sexes,80,80.0,,,
44,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Denmark,Male,18,18.0,,,
45,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Denmark,Male,19,19.0,,,
46,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Denmark,Both sexes,21,21.0,,,
47,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Denmark,Both sexes,23,23.0,,,
48,Life expectancy at birth (years),Published,2012,Europe,High-income,Spain,Both sexes,82,82.0,,,
49,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Spain,Female,25,25.0,,,
50,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Spain,Both sexes,22,22.0,,,
51,Life expectancy at birth (years),Published,1990,Europe,High-income,Estonia,Female,75,75.0,,,
52,Life expectancy at birth (years),Published,2012,Europe,High-income,Estonia,Female,81,81.0,,,
53,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Estonia,Male,18,18.0,,,
54,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Estonia,Female,21,21.0,,,
55,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Estonia,Female,24,24.0,,,
56,Life expectancy at birth (years),Published,1990,Europe,High-income,Finland,Female,79,79.0,,,
57,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Finland,Male,22,22.0,,,
58,Life expectancy at birth (years),Published,2000,Europe,High-income,France,Male,75,75.0,,,
59,Life expectancy at age 60 (years),Published,2000,Europe,High-income,France,Male,20,20.0,,,
60,Life expectancy at birth (years),Published,2012,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Female,83,83.0,,,
61,Life expectancy at birth (years),Published,2012,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Both sexes,81,81.0,,,
62,Life expectancy at age 60 (years),Published,1990,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Male,18,18.0,,,
63,Life expectancy at birth (years),Published,2000,Africa,High-income,Equatorial Guinea,Female,52,52.0,,,
64,Life expectancy at age 60 (years),Published,1990,Africa,High-income,Equatorial Guinea,Female,15,15.0,,,
65,Life expectancy at age 60 (years),Published,2012,Africa,High-income,Equatorial Guinea,Female,17,17.0,,,
66,Life expectancy at birth (years),Published,2012,Europe,High-income,Greece,Male,78,78.0,,,
67,Life expectancy at birth (years),Published,2012,Europe,High-income,Greece,Female,83,83.0,,,
68,Life expectancy at birth (years),Published,2012,Europe,High-income,Croatia,Both sexes,78,78.0,,,
69,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Croatia,Male,16,16.0,,,
70,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Croatia,Both sexes,19,19.0,,,
71,Life expectancy at birth (years),Published,2000,Europe,High-income,Hungary,Male,68,68.0,,,
72,Life expectancy at birth (years),Published,2000,Europe,High-income,Hungary,Both sexes,72,72.0,,,
73,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Hungary,Male,15,15.0,,,
74,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Hungary,Female,22,22.0,,,
75,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Hungary,Both sexes,18,18.0,,,
76,Life expectancy at birth (years),Published,2000,Europe,High-income,Ireland,Both sexes,77,77.0,,,
77,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Ireland,Both sexes,19,19.0,,,
78,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Ireland,Both sexes,20,20.0,,,
79,Life expectancy at birth (years),Published,2012,Europe,High-income,Iceland,Female,84,84.0,,,
80,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Iceland,Female,24,24.0,,,
81,Life expectancy at birth (years),Published,1990,Europe,High-income,Israel,Male,75,75.0,,,
82,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Israel,Male,21,21.0,,,
83,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Israel,Both sexes,24,24.0,,,
84,Life expectancy at birth (years),Published,1990,Europe,High-income,Italy,Male,74,74.0,,,
85,Life expectancy at birth (years),Published,2000,Europe,High-income,Italy,Male,77,77.0,,,
86,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Italy,Male,21,21.0,,,
87,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Italy,Both sexes,25,25.0,,,
88,Life expectancy at age 60 (years),Published,2012,Western Pacific,High-income,Japan,Female,29,29.0,,,
89,Life expectancy at age 60 (years),Published,1990,Western Pacific,High-income,Japan,Both sexes,23,23.0,,,
90,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Japan,Both sexes,25,25.0,,,
91,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Female,76,76.0,,,
92,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Both sexes,72,72.0,,,
93,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Republic of Korea,Female,23,23.0,,,
94,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Male,74,74.0,,,
95,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Female,76,76.0,,,
96,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,High-income,Kuwait,Female,18,18.0,,,
97,Life expectancy at birth (years),Published,2000,Europe,High-income,Luxembourg,Male,75,75.0,,,
98,Life expectancy at birth (years),Published,2012,Europe,High-income,Luxembourg,Both sexes,82,82.0,,,
99,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Luxembourg,Male,20,20.0,,,
